year,brk,sp500
1965,149.5,110
1966,144.417,97.13
1967,163.624461,127.14317
1968,290.9242917,141.1289187
1969,347.3636042,129.2740895
1970,331.3848784,134.315779
1971,598.1497056,153.9258828
1972,646.5998317,183.0178746
1973,630.434836,155.9312292
1974,323.4130708,114.7653847
1975,331.4983976,157.4581078
1976,760.1258257,194.6182212
1977,1115.864712,180.2164728
1978,1277.665095,191.7503271
1979,2587.271818,226.6488866
1980,3435.896975,299.856477
1981,4528.512213,284.8636531
1982,6267.460902,345.8244749
1983,10592.00892,423.2891573
1984,10306.02468,449.1097959
1985,19962.76981,591.0284914
1986,22797.48313,700.9597908
1987,23846.16735,736.7087401
1988,37986.94459,859.0023909
1989,70123.89971,1131.306149
1990,53925.27888,1096.235658
1991,73122.67816,1430.587534
1992,94913.23625,1539.312187
1993,131834.4851,1694.782717
1994,164793.1064,1716.814893
1995,259384.3495,2362.337292
1996,275466.1792,2905.67487
1997,371603.8757,3876.170276
1998,565581.0989,4984.754975
1999,453030.4602,6031.55352
2000,573536.5626,5482.68215
2001,610816.4392,4830.242974
2002,587605.4145,3762.759277
2003,680447.07,4842.671189
2004,709706.294,5370.522349
2005,715383.9443,5633.677944
2006,887791.4749,6523.799059
2007,1142587.628,6882.608007
2008,779244.7625,4336.043044
2009,800284.371,5485.094451
2010,971545.2264,6313.343713
2011,925882.6008,6445.923931
2012,1081430.878,7477.27176
2013,1435058.775,9899.907811
2014,1822524.644,11256.19518
2015,1594709.063,11413.78191
2016,1967870.984,12783.43574
2017,2398834.73,15570.22474
2018,2466002.102,14885.13485
2019,2737262.334,19573.95232
2020,2802956.63,23175.55955
2021,3632631.792,29826.94514